volume,reactor_diameter,liquid_height,bottom_depth,n_impeller,diameter_impeller_1,ax_pos_impeller_1,n_blades_1,pitch_angle_1,diameter_impeller_2,ax_pos_impeller_2,n_blades_2,pitch_angle_2,diameter_impeller_3,ax_pos_impeller_3,n_blades_3,pitch_angle_3,n_diptubes,n_baffles,rpm,strainRate_p50,epsilon_p50,k_p50,Umag_p50
0.805818516,0.1,0.0892666667117671,0.02,2,0.035,-0.014,2,0,0.05,0.04,4,60,0,0,0,0,0,4,250,8.491825026684388,0.0037943619690786004,0.0013125820625947728,0.06555286482134814
0.537212344,0.1,0.055066666696733615,0.02,2,0.035,-0.014,2,0,0.05,0.04,4,60,0,0,0,0,0,4,500,19.49155285131276,0.03269790577244722,0.005492341048447398,0.14559529393515994
0.223838477,0.1,0.015166666721635885,0.02,1,0.035,-0.014,2,0,0.0,0.0,0,0,0,0,0,0,0,4,250,7.17578120581881,0.0005627394117244304,0.0002833256992784371,0.04962992680376097
0.223838477,0.1,0.015166666721635885,0.02,1,0.035,-0.014,2,0,0.0,0.0,0,0,0,0,0,0,0,4,500,17.614540496041567,0.004095821099267613,0.0007727438869964821,0.10991415686433745
0.537212344,0.1,0.055066666696733615,0.02,2,0.035,-0.014,2,0,0.05,0.04,4,60,0,0,0,0,0,4,750,28.749616275408183,0.09373099237553122,0.010973003083481559,0.19492810804204316
0.537212344,0.1,0.055066666696733615,0.02,2,0.035,-0.014,2,0,0.05,0.04,4,60,0,0,0,0,0,4,250,10.004071266337887,0.004570501022294303,0.0015205009409100527,0.06908201414629564
0.223838477,0.1,0.015166666721635885,0.02,1,0.035,-0.014,2,0,0.0,0.0,0,0,0,0,0,0,0,4,750,27.06596542604877,0.01696504311442072,0.0023729680232792024,0.16287609352527418
0.805818516,0.1,0.0892666667117671,0.02,2,0.035,-0.014,2,0,0.05,0.04,3,45,0,0,0,0,0,4,750,26.327921364329836,0.12260403370877357,0.014183322048435603,0.19538757312309304
0.223838477,0.1,0.015166666721635885,0.02,1,0.035,-0.014,2,0,0.0,0.0,0,0,0,0,0,0,0,4,1000,36.101952221746714,0.04079157244710938,0.004318943042437429,0.21984330931335075
0.537212344,0.1,0.055066666696733615,0.02,2,0.035,-0.014,2,0,0.05,0.04,3,45,0,0,0,0,0,4,1000,42.51290123874659,0.4274650206999468,0.03213378215259038,0.3056908665161289
0.805818516,0.1,0.0892666667117671,0.02,2,0.035,-0.014,2,0,0.05,0.04,3,45,0,0,0,0,0,4,500,17.252063895772505,0.03896699764089202,0.006488493767026402,0.1315254035315433
0.805818516,0.1,0.0892666667117671,0.02,2,0.035,-0.014,2,0,0.05,0.04,3,45,0,0,0,0,0,4,1000,35.52428774379304,0.30940222973223125,0.026102927130622365,0.2642397457929536
0.805818516,0.1,0.0892666667117671,0.02,2,0.035,-0.014,2,0,0.05,0.04,3,45,0,0,0,0,0,4,250,8.40506074316999,0.004550392322321773,0.0015708136561969415,0.06479066950640391
